365.0,730.0,1095.0,1460.0,1825.0,cltsex_x,marryd_x,occpcode_x,marketbased,entry_age,churn,amtpaid,elapseddays,clntnum,premium,,net_profit,cltvscore,percentile,cltvband,client_name,cltsex_y,marryd_y,occpcode_y,latitude,longitude
1.0,1.0,1.0,1.0,1.0,1,3,0,1,1,0,0,3771,0001828 ,1631795.2,0.0,1631795.2,6273930.7296756245,99.28774928774928,high value,Raj Mathur,M,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,4,0,1,1,0,1,1945,0001888 ,65044.8,0.0,65044.8,250084.42819638463,73.07692307692307,high value,Ram Singh,M,S,    ,,
1.0,1.0,1.0,1.0,1.0,1,3,6,1,1,0,1,119,0001906 ,36522.68,0.0,36522.68,140422.50178337906,61.25356125356125,high value,Scott Fritz,M,M,ANYS,,
1.0,1.0,1.0,1.0,1.0,1,3,6,1,1,0,2,119,0001908 ,107918.76,0.0,107918.76,414926.34901272453,81.90883190883191,high value,Personal Personal one,M,M,ANYS,,
1.0,1.0,1.0,1.0,1.0,1,3,2,0,1,0,1,2634,0002012 ,67.03,110000000.0,-109999932.97,-422928048.64405894,0.5698005698005698,low value,Angelino Antonio,M,M,ACON,,
,,,,,1,3,0,1,1,1,1,1490,0002036 ,9020.48,0.0,9020.48,,,high value,paul james,M,M,    ,,
0.9667467358987618,0.9667467358987618,0.9667467358987618,0.9667467358987618,0.9667467358987618,1,3,0,1,1,0,1,1580,0002085 ,6988.8,0.0,6988.8,25977.023952623007,20.94017094017094,low value,asan sajitha,M,M,    ,,
0.8007225099143236,0.8007225099143236,0.8007225099143236,0.8007225099143236,0.8007225099143236,1,4,0,0,0,0,1,1580,0002095 ,8022.88,0.0,8022.88,24699.399918414412,19.943019943019944,low value,John Sarti,M,S,    ,,
0.9735279149776657,0.9225535985635057,0.9225535985635057,0.9225535985635057,0.9225535985635057,1,3,0,1,0,0,1,1506,0002096 ,73055.36,0.0,73055.36,262454.99175660766,74.07407407407408,high value,Off VPMS,M,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,4,0,0,2,0,1,1945,0002105 ,4981.76,0.0,4981.76,19153.884722708364,17.094017094017094,low value,one test,M,S,    ,,
1.0,1.0,1.0,1.0,1.0,1,4,14,1,2,0,1,1214,0002110 ,516.5,0.0,516.5,1985.8406385050407,5.555555555555555,low value,Dennis Salvador,M,S,JUVE,,
0.9666171171230893,0.9030162935924805,0.9030162935924805,0.9030162935924805,0.9030162935924805,0,4,0,0,1,0,1,1506,0002188 ,1262.35,0.0,1262.35,4454.462031947574,8.547008547008547,low value,nitasha mittal,F,S,    ,,
1.0,1.0,1.0,1.0,1.0,1,3,8,1,1,0,1,1598,0002213 ,28134.4,0.0,28134.4,108171.21947716597,53.13390313390314,medium value,Abhinav Singh,M,M,AUDI,,
1.0,1.0,1.0,1.0,1.0,1,4,0,1,1,0,0,3771,0002216 ,1110960.17,1000000.0,110960.17,426619.9706513608,82.33618233618233,high value,Ankur Singh,M,S,    ,,
